d,sigma,theta
0.001,0.005,0.0
0.002,0.005,0.0
0.003,0.005,0.0
0.004,0.005,0.0
0.005,0.005,0.0
0.006,0.005,0.0
0.007,0.005,0.0
0.008,0.005,0.0
0.009,0.005,0.0
0.01,0.005,0.0
0.011,0.005,0.0
0.012,0.005,0.0
0.013,0.005,0.0
0.014,0.005,0.0
0.015,0.005,0.0
0.001,0.01,0.0
0.002,0.01,0.0
0.003,0.01,0.0
0.004,0.01,0.0
0.005,0.01,0.0
0.006,0.01,0.0
0.007,0.01,0.0
0.008,0.01,0.0
0.009,0.01,0.0
0.01,0.01,0.0
0.011,0.01,0.0
0.012,0.01,0.0
0.013,0.01,0.0
0.014,0.01,0.0
0.015,0.01,0.0
0.001,0.015,0.0
0.002,0.015,0.0
0.003,0.015,0.0
0.004,0.015,0.0
0.005,0.015,0.0
0.006,0.015,0.0
0.007,0.015,0.0
0.008,0.015,0.0
0.009,0.015,0.0
0.01,0.015,0.0
0.011,0.015,0.0
0.012,0.015,0.0
0.013,0.015,0.0
0.014,0.015,0.0
0.015,0.015,0.0
0.001,0.02,0.0
0.002,0.02,0.0
0.003,0.02,0.0
0.004,0.02,0.0
0.005,0.02,0.0
0.006,0.02,0.0
0.007,0.02,0.0
0.008,0.02,0.0
0.009,0.02,0.0
0.01,0.02,0.0
0.011,0.02,0.0
0.012,0.02,0.0
0.013,0.02,0.0
0.014,0.02,0.0
0.015,0.02,0.0
0.001,0.025,0.0
0.002,0.025,0.0
0.003,0.025,0.0
0.004,0.025,0.0
0.005,0.025,0.0
0.006,0.025,0.0
0.007,0.025,0.0
0.008,0.025,0.0
0.009,0.025,0.0
0.01,0.025,0.0
0.011,0.025,0.0
0.012,0.025,0.0
0.013,0.025,0.0
0.014,0.025,0.0
0.015,0.025,0.0
0.001,0.03,0.0
0.002,0.03,0.0
0.003,0.03,0.0
0.004,0.03,0.0
0.005,0.03,0.0
0.006,0.03,0.0
0.007,0.03,0.0
0.008,0.03,0.0
0.009,0.03,0.0
0.01,0.03,0.0
0.011,0.03,0.0
0.012,0.03,0.0
0.013,0.03,0.0
0.014,0.03,0.0
0.015,0.03,0.0
0.001,0.035,0.0
0.002,0.035,0.0
0.003,0.035,0.0
0.004,0.035,0.0
0.005,0.035,0.0
0.006,0.035,0.0
0.007,0.035,0.0
0.008,0.035,0.0
0.009,0.035,0.0
0.01,0.035,0.0
0.011,0.035,0.0
0.012,0.035,0.0
0.013,0.035,0.0
0.014,0.035,0.0
0.015,0.035,0.0
0.001,0.04,0.0
0.002,0.04,0.0
0.003,0.04,0.0
0.004,0.04,0.0
0.005,0.04,0.0
0.006,0.04,0.0
0.007,0.04,0.0
0.008,0.04,0.0
0.009,0.04,0.0
0.01,0.04,0.0
0.011,0.04,0.0
0.012,0.04,0.0
0.013,0.04,0.0
0.014,0.04,0.0
0.015,0.04,0.0
0.001,0.045,0.0
0.002,0.045,0.0
0.003,0.045,0.0
0.004,0.045,0.0
0.005,0.045,0.0
0.006,0.045,0.0
0.007,0.045,0.0
0.008,0.045,0.0
0.009,0.045,0.0
0.01,0.045,0.0
0.011,0.045,0.0
0.012,0.045,0.0
0.013,0.045,0.0
0.014,0.045,0.0
0.015,0.045,0.0
0.001,0.05,0.0
0.002,0.05,0.0
0.003,0.05,0.0
0.004,0.05,0.0
0.005,0.05,0.0
0.006,0.05,0.0
0.007,0.05,0.0
0.008,0.05,0.0
0.009,0.05,0.0
0.01,0.05,0.0
0.011,0.05,0.0
0.012,0.05,0.0
0.013,0.05,0.0
0.014,0.05,0.0
0.015,0.05,0.0
0.001,0.055,0.0
0.002,0.055,0.0
0.003,0.055,0.0
0.004,0.055,0.0
0.005,0.055,0.0
0.006,0.055,0.0
0.007,0.055,0.0
0.008,0.055,0.0
0.009,0.055,0.0
0.01,0.055,0.0
0.011,0.055,0.0
0.012,0.055,0.0
0.013,0.055,0.0
0.014,0.055,0.0
0.015,0.055,0.0
0.001,0.06,0.0
0.002,0.06,0.0
0.003,0.06,0.0
0.004,0.06,0.0
0.005,0.06,0.0
0.006,0.06,0.0
0.007,0.06,0.0
0.008,0.06,0.0
0.009,0.06,0.0
0.01,0.06,0.0
0.011,0.06,0.0
0.012,0.06,0.0
0.013,0.06,0.0
0.014,0.06,0.0
0.015,0.06,0.0
0.001,0.005,0.1
0.002,0.005,0.1
0.003,0.005,0.1
0.004,0.005,0.1
0.005,0.005,0.1
0.006,0.005,0.1
0.007,0.005,0.1
0.008,0.005,0.1
0.009,0.005,0.1
0.01,0.005,0.1
0.011,0.005,0.1
0.012,0.005,0.1
0.013,0.005,0.1
0.014,0.005,0.1
0.015,0.005,0.1
0.001,0.01,0.1
0.002,0.01,0.1
0.003,0.01,0.1
0.004,0.01,0.1
0.005,0.01,0.1
0.006,0.01,0.1
0.007,0.01,0.1
0.008,0.01,0.1
0.009,0.01,0.1
0.01,0.01,0.1
0.011,0.01,0.1
0.012,0.01,0.1
0.013,0.01,0.1
0.014,0.01,0.1
0.015,0.01,0.1
0.001,0.015,0.1
0.002,0.015,0.1
0.003,0.015,0.1
0.004,0.015,0.1
0.005,0.015,0.1
0.006,0.015,0.1
0.007,0.015,0.1
0.008,0.015,0.1
0.009,0.015,0.1
0.01,0.015,0.1
0.011,0.015,0.1
0.012,0.015,0.1
0.013,0.015,0.1
0.014,0.015,0.1
0.015,0.015,0.1
0.001,0.02,0.1
0.002,0.02,0.1
0.003,0.02,0.1
0.004,0.02,0.1
0.005,0.02,0.1
0.006,0.02,0.1
0.007,0.02,0.1
0.008,0.02,0.1
0.009,0.02,0.1
0.01,0.02,0.1
0.011,0.02,0.1
0.012,0.02,0.1
0.013,0.02,0.1
0.014,0.02,0.1
0.015,0.02,0.1
0.001,0.025,0.1
0.002,0.025,0.1
0.003,0.025,0.1
0.004,0.025,0.1
0.005,0.025,0.1
0.006,0.025,0.1
0.007,0.025,0.1
0.008,0.025,0.1
0.009,0.025,0.1
0.01,0.025,0.1
0.011,0.025,0.1
0.012,0.025,0.1
0.013,0.025,0.1
0.014,0.025,0.1
0.015,0.025,0.1
0.001,0.03,0.1
0.002,0.03,0.1
0.003,0.03,0.1
0.004,0.03,0.1
0.005,0.03,0.1
0.006,0.03,0.1
0.007,0.03,0.1
0.008,0.03,0.1
0.009,0.03,0.1
0.01,0.03,0.1
0.011,0.03,0.1
0.012,0.03,0.1
0.013,0.03,0.1
0.014,0.03,0.1
0.015,0.03,0.1
0.001,0.035,0.1
0.002,0.035,0.1
0.003,0.035,0.1
0.004,0.035,0.1
0.005,0.035,0.1
0.006,0.035,0.1
0.007,0.035,0.1
0.008,0.035,0.1
0.009,0.035,0.1
0.01,0.035,0.1
0.011,0.035,0.1
0.012,0.035,0.1
0.013,0.035,0.1
0.014,0.035,0.1
0.015,0.035,0.1
0.001,0.04,0.1
0.002,0.04,0.1
0.003,0.04,0.1
0.004,0.04,0.1
0.005,0.04,0.1
0.006,0.04,0.1
0.007,0.04,0.1
0.008,0.04,0.1
0.009,0.04,0.1
0.01,0.04,0.1
0.011,0.04,0.1
0.012,0.04,0.1
0.013,0.04,0.1
0.014,0.04,0.1
0.015,0.04,0.1
0.001,0.045,0.1
0.002,0.045,0.1
0.003,0.045,0.1
0.004,0.045,0.1
0.005,0.045,0.1
0.006,0.045,0.1
0.007,0.045,0.1
0.008,0.045,0.1
0.009,0.045,0.1
0.01,0.045,0.1
0.011,0.045,0.1
0.012,0.045,0.1
0.013,0.045,0.1
0.014,0.045,0.1
0.015,0.045,0.1
0.001,0.05,0.1
0.002,0.05,0.1
0.003,0.05,0.1
0.004,0.05,0.1
0.005,0.05,0.1
0.006,0.05,0.1
0.007,0.05,0.1
0.008,0.05,0.1
0.009,0.05,0.1
0.01,0.05,0.1
0.011,0.05,0.1
0.012,0.05,0.1
0.013,0.05,0.1
0.014,0.05,0.1
0.015,0.05,0.1
0.001,0.055,0.1
0.002,0.055,0.1
0.003,0.055,0.1
0.004,0.055,0.1
0.005,0.055,0.1
0.006,0.055,0.1
0.007,0.055,0.1
0.008,0.055,0.1
0.009,0.055,0.1
0.01,0.055,0.1
0.011,0.055,0.1
0.012,0.055,0.1
0.013,0.055,0.1
0.014,0.055,0.1
0.015,0.055,0.1
0.001,0.06,0.1
0.002,0.06,0.1
0.003,0.06,0.1
0.004,0.06,0.1
0.005,0.06,0.1
0.006,0.06,0.1
0.007,0.06,0.1
0.008,0.06,0.1
0.009,0.06,0.1
0.01,0.06,0.1
0.011,0.06,0.1
0.012,0.06,0.1
0.013,0.06,0.1
0.014,0.06,0.1
0.015,0.06,0.1
0.001,0.005,0.2
0.002,0.005,0.2
0.003,0.005,0.2
0.004,0.005,0.2
0.005,0.005,0.2
0.006,0.005,0.2
0.007,0.005,0.2
0.008,0.005,0.2
0.009,0.005,0.2
0.01,0.005,0.2
0.011,0.005,0.2
0.012,0.005,0.2
0.013,0.005,0.2
0.014,0.005,0.2
0.015,0.005,0.2
0.001,0.01,0.2
0.002,0.01,0.2
0.003,0.01,0.2
0.004,0.01,0.2
0.005,0.01,0.2
0.006,0.01,0.2
0.007,0.01,0.2
0.008,0.01,0.2
0.009,0.01,0.2
0.01,0.01,0.2
0.011,0.01,0.2
0.012,0.01,0.2
0.013,0.01,0.2
0.014,0.01,0.2
0.015,0.01,0.2
0.001,0.015,0.2
0.002,0.015,0.2
0.003,0.015,0.2
0.004,0.015,0.2
0.005,0.015,0.2
0.006,0.015,0.2
0.007,0.015,0.2
0.008,0.015,0.2
0.009,0.015,0.2
0.01,0.015,0.2
0.011,0.015,0.2
0.012,0.015,0.2
0.013,0.015,0.2
0.014,0.015,0.2
0.015,0.015,0.2
0.001,0.02,0.2
0.002,0.02,0.2
0.003,0.02,0.2
0.004,0.02,0.2
0.005,0.02,0.2
0.006,0.02,0.2
0.007,0.02,0.2
0.008,0.02,0.2
0.009,0.02,0.2
0.01,0.02,0.2
0.011,0.02,0.2
0.012,0.02,0.2
0.013,0.02,0.2
0.014,0.02,0.2
0.015,0.02,0.2
0.001,0.025,0.2
0.002,0.025,0.2
0.003,0.025,0.2
0.004,0.025,0.2
0.005,0.025,0.2
0.006,0.025,0.2
0.007,0.025,0.2
0.008,0.025,0.2
0.009,0.025,0.2
0.01,0.025,0.2
0.011,0.025,0.2
0.012,0.025,0.2
0.013,0.025,0.2
0.014,0.025,0.2
0.015,0.025,0.2
0.001,0.03,0.2
0.002,0.03,0.2
0.003,0.03,0.2
0.004,0.03,0.2
0.005,0.03,0.2
0.006,0.03,0.2
0.007,0.03,0.2
0.008,0.03,0.2
0.009,0.03,0.2
0.01,0.03,0.2
0.011,0.03,0.2
0.012,0.03,0.2
0.013,0.03,0.2
0.014,0.03,0.2
0.015,0.03,0.2
0.001,0.035,0.2
0.002,0.035,0.2
0.003,0.035,0.2
0.004,0.035,0.2
0.005,0.035,0.2
0.006,0.035,0.2
0.007,0.035,0.2
0.008,0.035,0.2
0.009,0.035,0.2
0.01,0.035,0.2
0.011,0.035,0.2
0.012,0.035,0.2
0.013,0.035,0.2
0.014,0.035,0.2
0.015,0.035,0.2
0.001,0.04,0.2
0.002,0.04,0.2
0.003,0.04,0.2
0.004,0.04,0.2
0.005,0.04,0.2
0.006,0.04,0.2
0.007,0.04,0.2
0.008,0.04,0.2
0.009,0.04,0.2
0.01,0.04,0.2
0.011,0.04,0.2
0.012,0.04,0.2
0.013,0.04,0.2
0.014,0.04,0.2
0.015,0.04,0.2
0.001,0.045,0.2
0.002,0.045,0.2
0.003,0.045,0.2
0.004,0.045,0.2
0.005,0.045,0.2
0.006,0.045,0.2
0.007,0.045,0.2
0.008,0.045,0.2
0.009,0.045,0.2
0.01,0.045,0.2
0.011,0.045,0.2
0.012,0.045,0.2
0.013,0.045,0.2
0.014,0.045,0.2
0.015,0.045,0.2
0.001,0.05,0.2
0.002,0.05,0.2
0.003,0.05,0.2
0.004,0.05,0.2
0.005,0.05,0.2
0.006,0.05,0.2
0.007,0.05,0.2
0.008,0.05,0.2
0.009,0.05,0.2
0.01,0.05,0.2
0.011,0.05,0.2
0.012,0.05,0.2
0.013,0.05,0.2
0.014,0.05,0.2
0.015,0.05,0.2
0.001,0.055,0.2
0.002,0.055,0.2
0.003,0.055,0.2
0.004,0.055,0.2
0.005,0.055,0.2
0.006,0.055,0.2
0.007,0.055,0.2
0.008,0.055,0.2
0.009,0.055,0.2
0.01,0.055,0.2
0.011,0.055,0.2
0.012,0.055,0.2
0.013,0.055,0.2
0.014,0.055,0.2
0.015,0.055,0.2
0.001,0.06,0.2
0.002,0.06,0.2
0.003,0.06,0.2
0.004,0.06,0.2
0.005,0.06,0.2
0.006,0.06,0.2
0.007,0.06,0.2
0.008,0.06,0.2
0.009,0.06,0.2
0.01,0.06,0.2
0.011,0.06,0.2
0.012,0.06,0.2
0.013,0.06,0.2
0.014,0.06,0.2
0.015,0.06,0.2
0.001,0.005,0.3
0.002,0.005,0.3
0.003,0.005,0.3
0.004,0.005,0.3
0.005,0.005,0.3
0.006,0.005,0.3
0.007,0.005,0.3
0.008,0.005,0.3
0.009,0.005,0.3
0.01,0.005,0.3
0.011,0.005,0.3
0.012,0.005,0.3
0.013,0.005,0.3
0.014,0.005,0.3
0.015,0.005,0.3
0.001,0.01,0.3
0.002,0.01,0.3
0.003,0.01,0.3
0.004,0.01,0.3
0.005,0.01,0.3
0.006,0.01,0.3
0.007,0.01,0.3
0.008,0.01,0.3
0.009,0.01,0.3
0.01,0.01,0.3
0.011,0.01,0.3
0.012,0.01,0.3
0.013,0.01,0.3
0.014,0.01,0.3
0.015,0.01,0.3
0.001,0.015,0.3
0.002,0.015,0.3
0.003,0.015,0.3
0.004,0.015,0.3
0.005,0.015,0.3
0.006,0.015,0.3
0.007,0.015,0.3
0.008,0.015,0.3
0.009,0.015,0.3
0.01,0.015,0.3
0.011,0.015,0.3
0.012,0.015,0.3
0.013,0.015,0.3
0.014,0.015,0.3
0.015,0.015,0.3
0.001,0.02,0.3
0.002,0.02,0.3
0.003,0.02,0.3
0.004,0.02,0.3
0.005,0.02,0.3
0.006,0.02,0.3
0.007,0.02,0.3
0.008,0.02,0.3
0.009,0.02,0.3
0.01,0.02,0.3
0.011,0.02,0.3
0.012,0.02,0.3
0.013,0.02,0.3
0.014,0.02,0.3
0.015,0.02,0.3
0.001,0.025,0.3
0.002,0.025,0.3
0.003,0.025,0.3
0.004,0.025,0.3
0.005,0.025,0.3
0.006,0.025,0.3
0.007,0.025,0.3
0.008,0.025,0.3
0.009,0.025,0.3
0.01,0.025,0.3
0.011,0.025,0.3
0.012,0.025,0.3
0.013,0.025,0.3
0.014,0.025,0.3
0.015,0.025,0.3
0.001,0.03,0.3
0.002,0.03,0.3
0.003,0.03,0.3
0.004,0.03,0.3
0.005,0.03,0.3
0.006,0.03,0.3
0.007,0.03,0.3
0.008,0.03,0.3
0.009,0.03,0.3
0.01,0.03,0.3
0.011,0.03,0.3
0.012,0.03,0.3
0.013,0.03,0.3
0.014,0.03,0.3
0.015,0.03,0.3
0.001,0.035,0.3
0.002,0.035,0.3
0.003,0.035,0.3
0.004,0.035,0.3
0.005,0.035,0.3
0.006,0.035,0.3
0.007,0.035,0.3
0.008,0.035,0.3
0.009,0.035,0.3
0.01,0.035,0.3
0.011,0.035,0.3
0.012,0.035,0.3
0.013,0.035,0.3
0.014,0.035,0.3
0.015,0.035,0.3
0.001,0.04,0.3
0.002,0.04,0.3
0.003,0.04,0.3
0.004,0.04,0.3
0.005,0.04,0.3
0.006,0.04,0.3
0.007,0.04,0.3
0.008,0.04,0.3
0.009,0.04,0.3
0.01,0.04,0.3
0.011,0.04,0.3
0.012,0.04,0.3
0.013,0.04,0.3
0.014,0.04,0.3
0.015,0.04,0.3
0.001,0.045,0.3
0.002,0.045,0.3
0.003,0.045,0.3
0.004,0.045,0.3
0.005,0.045,0.3
0.006,0.045,0.3
0.007,0.045,0.3
0.008,0.045,0.3
0.009,0.045,0.3
0.01,0.045,0.3
0.011,0.045,0.3
0.012,0.045,0.3
0.013,0.045,0.3
0.014,0.045,0.3
0.015,0.045,0.3
0.001,0.05,0.3
0.002,0.05,0.3
0.003,0.05,0.3
0.004,0.05,0.3
0.005,0.05,0.3
0.006,0.05,0.3
0.007,0.05,0.3
0.008,0.05,0.3
0.009,0.05,0.3
0.01,0.05,0.3
0.011,0.05,0.3
0.012,0.05,0.3
0.013,0.05,0.3
0.014,0.05,0.3
0.015,0.05,0.3
0.001,0.055,0.3
0.002,0.055,0.3
0.003,0.055,0.3
0.004,0.055,0.3
0.005,0.055,0.3
0.006,0.055,0.3
0.007,0.055,0.3
0.008,0.055,0.3
0.009,0.055,0.3
0.01,0.055,0.3
0.011,0.055,0.3
0.012,0.055,0.3
0.013,0.055,0.3
0.014,0.055,0.3
0.015,0.055,0.3
0.001,0.06,0.3
0.002,0.06,0.3
0.003,0.06,0.3
0.004,0.06,0.3
0.005,0.06,0.3
0.006,0.06,0.3
0.007,0.06,0.3
0.008,0.06,0.3
0.009,0.06,0.3
0.01,0.06,0.3
0.011,0.06,0.3
0.012,0.06,0.3
0.013,0.06,0.3
0.014,0.06,0.3
0.015,0.06,0.3
0.001,0.005,0.4
0.002,0.005,0.4
0.003,0.005,0.4
0.004,0.005,0.4
0.005,0.005,0.4
0.006,0.005,0.4
0.007,0.005,0.4
0.008,0.005,0.4
0.009,0.005,0.4
0.01,0.005,0.4
0.011,0.005,0.4
0.012,0.005,0.4
0.013,0.005,0.4
0.014,0.005,0.4
0.015,0.005,0.4
0.001,0.01,0.4
0.002,0.01,0.4
0.003,0.01,0.4
0.004,0.01,0.4
0.005,0.01,0.4
0.006,0.01,0.4
0.007,0.01,0.4
0.008,0.01,0.4
0.009,0.01,0.4
0.01,0.01,0.4
0.011,0.01,0.4
0.012,0.01,0.4
0.013,0.01,0.4
0.014,0.01,0.4
0.015,0.01,0.4
0.001,0.015,0.4
0.002,0.015,0.4
0.003,0.015,0.4
0.004,0.015,0.4
0.005,0.015,0.4
0.006,0.015,0.4
0.007,0.015,0.4
0.008,0.015,0.4
0.009,0.015,0.4
0.01,0.015,0.4
0.011,0.015,0.4
0.012,0.015,0.4
0.013,0.015,0.4
0.014,0.015,0.4
0.015,0.015,0.4
0.001,0.02,0.4
0.002,0.02,0.4
0.003,0.02,0.4
0.004,0.02,0.4
0.005,0.02,0.4
0.006,0.02,0.4
0.007,0.02,0.4
0.008,0.02,0.4
0.009,0.02,0.4
0.01,0.02,0.4
0.011,0.02,0.4
0.012,0.02,0.4
0.013,0.02,0.4
0.014,0.02,0.4
0.015,0.02,0.4
0.001,0.025,0.4
0.002,0.025,0.4
0.003,0.025,0.4
0.004,0.025,0.4
0.005,0.025,0.4
0.006,0.025,0.4
0.007,0.025,0.4
0.008,0.025,0.4
0.009,0.025,0.4
0.01,0.025,0.4
0.011,0.025,0.4
0.012,0.025,0.4
0.013,0.025,0.4
0.014,0.025,0.4
0.015,0.025,0.4
0.001,0.03,0.4
0.002,0.03,0.4
0.003,0.03,0.4
0.004,0.03,0.4
0.005,0.03,0.4
0.006,0.03,0.4
0.007,0.03,0.4
0.008,0.03,0.4
0.009,0.03,0.4
0.01,0.03,0.4
0.011,0.03,0.4
0.012,0.03,0.4
0.013,0.03,0.4
0.014,0.03,0.4
0.015,0.03,0.4
0.001,0.035,0.4
0.002,0.035,0.4
0.003,0.035,0.4
0.004,0.035,0.4
0.005,0.035,0.4
0.006,0.035,0.4
0.007,0.035,0.4
0.008,0.035,0.4
0.009,0.035,0.4
0.01,0.035,0.4
0.011,0.035,0.4
0.012,0.035,0.4
0.013,0.035,0.4
0.014,0.035,0.4
0.015,0.035,0.4
0.001,0.04,0.4
0.002,0.04,0.4
0.003,0.04,0.4
0.004,0.04,0.4
0.005,0.04,0.4
0.006,0.04,0.4
0.007,0.04,0.4
0.008,0.04,0.4
0.009,0.04,0.4
0.01,0.04,0.4
0.011,0.04,0.4
0.012,0.04,0.4
0.013,0.04,0.4
0.014,0.04,0.4
0.015,0.04,0.4
0.001,0.045,0.4
0.002,0.045,0.4
0.003,0.045,0.4
0.004,0.045,0.4
0.005,0.045,0.4
0.006,0.045,0.4
0.007,0.045,0.4
0.008,0.045,0.4
0.009,0.045,0.4
0.01,0.045,0.4
0.011,0.045,0.4
0.012,0.045,0.4
0.013,0.045,0.4
0.014,0.045,0.4
0.015,0.045,0.4
0.001,0.05,0.4
0.002,0.05,0.4
0.003,0.05,0.4
0.004,0.05,0.4
0.005,0.05,0.4
0.006,0.05,0.4
0.007,0.05,0.4
0.008,0.05,0.4
0.009,0.05,0.4
0.01,0.05,0.4
0.011,0.05,0.4
0.012,0.05,0.4
0.013,0.05,0.4
0.014,0.05,0.4
0.015,0.05,0.4
0.001,0.055,0.4
0.002,0.055,0.4
0.003,0.055,0.4
0.004,0.055,0.4
0.005,0.055,0.4
0.006,0.055,0.4
0.007,0.055,0.4
0.008,0.055,0.4
0.009,0.055,0.4
0.01,0.055,0.4
0.011,0.055,0.4
0.012,0.055,0.4
0.013,0.055,0.4
0.014,0.055,0.4
0.015,0.055,0.4
0.001,0.06,0.4
0.002,0.06,0.4
0.003,0.06,0.4
0.004,0.06,0.4
0.005,0.06,0.4
0.006,0.06,0.4
0.007,0.06,0.4
0.008,0.06,0.4
0.009,0.06,0.4
0.01,0.06,0.4
0.011,0.06,0.4
0.012,0.06,0.4
0.013,0.06,0.4
0.014,0.06,0.4
0.015,0.06,0.4
0.001,0.005,0.5
0.002,0.005,0.5
0.003,0.005,0.5
0.004,0.005,0.5
0.005,0.005,0.5
0.006,0.005,0.5
0.007,0.005,0.5
0.008,0.005,0.5
0.009,0.005,0.5
0.01,0.005,0.5
0.011,0.005,0.5
0.012,0.005,0.5
0.013,0.005,0.5
0.014,0.005,0.5
0.015,0.005,0.5
0.001,0.01,0.5
0.002,0.01,0.5
0.003,0.01,0.5
0.004,0.01,0.5
0.005,0.01,0.5
0.006,0.01,0.5
0.007,0.01,0.5
0.008,0.01,0.5
0.009,0.01,0.5
0.01,0.01,0.5
0.011,0.01,0.5
0.012,0.01,0.5
0.013,0.01,0.5
0.014,0.01,0.5
0.015,0.01,0.5
0.001,0.015,0.5
0.002,0.015,0.5
0.003,0.015,0.5
0.004,0.015,0.5
0.005,0.015,0.5
0.006,0.015,0.5
0.007,0.015,0.5
0.008,0.015,0.5
0.009,0.015,0.5
0.01,0.015,0.5
0.011,0.015,0.5
0.012,0.015,0.5
0.013,0.015,0.5
0.014,0.015,0.5
0.015,0.015,0.5
0.001,0.02,0.5
0.002,0.02,0.5
0.003,0.02,0.5
0.004,0.02,0.5
0.005,0.02,0.5
0.006,0.02,0.5
0.007,0.02,0.5
0.008,0.02,0.5
0.009,0.02,0.5
0.01,0.02,0.5
0.011,0.02,0.5
0.012,0.02,0.5
0.013,0.02,0.5
0.014,0.02,0.5
0.015,0.02,0.5
0.001,0.025,0.5
0.002,0.025,0.5
0.003,0.025,0.5
0.004,0.025,0.5
0.005,0.025,0.5
0.006,0.025,0.5
0.007,0.025,0.5
0.008,0.025,0.5
0.009,0.025,0.5
0.01,0.025,0.5
0.011,0.025,0.5
0.012,0.025,0.5
0.013,0.025,0.5
0.014,0.025,0.5
0.015,0.025,0.5
0.001,0.03,0.5
0.002,0.03,0.5
0.003,0.03,0.5
0.004,0.03,0.5
0.005,0.03,0.5
0.006,0.03,0.5
0.007,0.03,0.5
0.008,0.03,0.5
0.009,0.03,0.5
0.01,0.03,0.5
0.011,0.03,0.5
0.012,0.03,0.5
0.013,0.03,0.5
0.014,0.03,0.5
